S_no	n_states	A_ss1	B_ss1	C_ss1	D_ss1	A_ss2	B_ss2	C_ss2	D_ss2	A_ss3	B_ss3	C_ss3	D_ss3	A_ss4	B_ss4	C_ss4	D_ss4	A_ss5	B_ss5	C_ss5	D_ss5	A_ss6	B_ss6	C_ss6	D_ss6	A_ss7	B_ss7	C_ss7	D_ss7	A_ss8	B_ss8	C_ss8	D_ss8	A_ss9	B_ss9	C_ss9	D_ss9	A_ss10	B_ss10	C_ss10	D_ss10	A_ss11	B_ss11	C_ss11	D_ss11	A_ss12	B_ss12	C_ss12	D_ss12	A_ss13	B_ss13	C_ss13	D_ss13	A_ss14	B_ss14	C_ss14	D_ss14	A_ss15	B_ss15	C_ss15	D_ss15	A_ss16	B_ss16	C_ss16	D_ss16	A_ss17	B_ss17	C_ss17	D_ss17	A_ss18	B_ss18	C_ss18	D_ss18	A_ss19	B_ss19	C_ss19	D_ss19	A_ss20	B_ss20	C_ss20	D_ss20	A_ss21	B_ss21	C_ss21	D_ss21	A_ss22	B_ss22	C_ss22	D_ss22	A_ss23	B_ss23	C_ss23	D_ss23	A_ss24	B_ss24	C_ss24	D_ss24
6253	4	0.6550223847511344	-3.654235400128061	-6.7325101784889645	4.315844933923876	-2.82337602973496	2.423910967176309	-5.578883609619679	0.4206175918070452	1.9303134295623599	0.9974870546815509	-5.73918001926071	-5.168725185942732	3.1203558459348653	-3.3167511597661927	-6.898266118471367	0.48841552432181456																																																																																
4685	1	-8.304382555653437	-6.302471094319368	4.6123897317978235	0.4423112826194869																																																																																												
1732	2	3.0511904393690044	-3.440965640161737	2.034308694035895	-6.23829353126359	4.958177536740494	0.3329001266826717	-4.427262703207612	-3.2026871376242485																																																																																								
4743	5	0.8720382339187546	-5.44735355713987	-2.4171809723372464	1.1473642146544185	-3.7365498985002743	1.0203027019193363	-5.518684362352236	1.3592766606379767	4.258810152270038	0.5754044323735805	-3.2379236879251962	-3.9973319934555525	0.14778074394719723	3.2343341237311725	-2.8271850636477645	-3.6949984600717025	-4.244606716212013	7.008112657862471	-0.14177878733943286	-4.180289568351449																																																																												
4522	3	1.2745296071200127	-3.7988979625746797	1.731379480042409	-4.592431729512219	-5.09727525509406	-5.324267674414855	1.690822489310468	1.7682517239939968	-3.826030781625842	0.9950532277454904	1.775441702016133	-4.083609272522367																																																																																				
6341	2	-2.4730551431359107	2.4752314045535173	1.7966091211654962	-6.510389593993984	2.6852917059417027	-3.5499767137568172	2.4155884133494676	-6.832654506462594																																																																																								
577	3	2.2074477245608524	-4.200353739073952	3.288267924136204	-2.60720177983863	-4.151139285091397	-3.5708247765559564	5.265259051829582	2.8074188739024706	-4.044856395026583	2.378330144584593	3.906915805067531	-2.629138806063101																																																																																				
5203	1	-3.184759171373452	-4.712466471857723	0.33258133949942287	2.321102891366186																																																																																												
6364	4	-5.233488455967743	6.195351243756659	-2.2370763090442605	-1.8891993961857836	0.9491439497835484	-2.8970525970039636	3.77473737516315	-6.208399271844196	-5.255970670858512	6.542710077430568	0.1895876487149974	-2.6607708244912858	-4.857716237956599	0.6425992255018247	3.08378415631257	-7.053983621359095																																																																																
440	2	-6.767368910951801	3.1704323086707737	4.65431739863976	-5.110847960125961	-8.531150294052642	-2.5481844692118303	2.8473615900417024	0.9708259612510419																																																																																								
2751	9	-0.009376884440250725	-2.715655850489959	-1.8997735980768977	1.4903693399110127	1.9998067298485747	-7.453303995948178	-1.7923064534543764	0.8015445907328522	0.6753698836896523	-6.907428068169704	-1.3322186298142549	0.7373484524408379	1.1950554535456284	-2.5024506711017587	-2.864992974268902	1.8386707357573884	2.3898119765340216	-7.2061814121798875	-2.69652623494816	0.9532209198764775	1.3078983189318611	-7.466529677830008	1.4730535001599905	-5.069660954986717	1.4836897961476831	-7.517143973671985	-1.583497529995824	0.7673525023233898	1.7972034650131274	-3.6537374888195875	-3.8558446886375686	1.6340163094440037	-2.7744754317781117	-7.1802050295939654	-0.10328140558207438	2.834891808659976																																																												
7488	2	4.903717673742955	0.7990127096845375	-7.438805042173817	-3.8450840211679225	7.867272041870011	-5.146961305014218	-7.3439182014936275	1.8591328025494553																																																																																								
5273	2	-5.8328633561816945	3.536526480031939	-5.531702739549328	3.613875403747939	-0.4589119628583217	-2.64695140660919	-4.782727363520992	1.813276888637645																																																																																								
5654	1	4.332000621030853	-2.384449271802766	-7.619658303549867	-2.906796650742963																																																																																												
4000	1	-3.2874094295900775	2.098100206157609	-7.098072671505539	1.1699334395715115																																																																																												
