S_no	n_states	A_ss1	B_ss1	C_ss1	D_ss1	A_ss2	B_ss2	C_ss2	D_ss2	A_ss3	B_ss3	C_ss3	D_ss3	A_ss4	B_ss4	C_ss4	D_ss4	A_ss5	B_ss5	C_ss5	D_ss5	A_ss6	B_ss6	C_ss6	D_ss6	A_ss7	B_ss7	C_ss7	D_ss7	A_ss8	B_ss8	C_ss8	D_ss8	A_ss9	B_ss9	C_ss9	D_ss9	A_ss10	B_ss10	C_ss10	D_ss10	A_ss11	B_ss11	C_ss11	D_ss11	A_ss12	B_ss12	C_ss12	D_ss12	A_ss13	B_ss13	C_ss13	D_ss13	A_ss14	B_ss14	C_ss14	D_ss14	A_ss15	B_ss15	C_ss15	D_ss15	A_ss16	B_ss16	C_ss16	D_ss16	A_ss17	B_ss17	C_ss17	D_ss17	A_ss18	B_ss18	C_ss18	D_ss18	A_ss19	B_ss19	C_ss19	D_ss19	A_ss20	B_ss20	C_ss20	D_ss20	A_ss21	B_ss21	C_ss21	D_ss21	A_ss22	B_ss22	C_ss22	D_ss22	A_ss23	B_ss23	C_ss23	D_ss23	A_ss24	B_ss24	C_ss24	D_ss24	A_ss25	B_ss25	C_ss25	D_ss25	A_ss26	B_ss26	C_ss26	D_ss26	A_ss27	B_ss27	C_ss27	D_ss27
2751	1	1.3078983189319249	-7.466529677643639	1.4730443348483337	-5.069660937726592																																																																																																								
7488	2	7.867272041870011	-5.146961305014218	-7.3439182014965	1.8591328025494553	4.903717673742963	0.7990127096845372	-7.438828913935968	-3.845084021167921																																																																																																				
5273	2	-5.8328633561816945	3.536526480031939	-5.531702739549328	3.613875403747939	-0.4589120472805846	-2.6469513721444753	-5.63951299612475	1.8132772305952627																																																																																																				
5654	1	4.3320006210308595	-2.384449271802763	-7.751720479291931	-2.906796650742961																																																																																																								
4000	2	-3.2874094295900775	2.098100206157609	-7.098072754578506	1.1699334395715115	1.094619436157093	1.8117682042286796	-5.345526550876379	-4.825189141482578																																																																																																				
6034	12	-0.5674428307981935	-3.2928992493951235	2.786913336086023	-3.698323352627278	2.321239815201498	2.308110045759905	-5.93409142476071	-1.6208590601055004	0.7010161563312313	-2.9641205140628646	1.7143633640094311	-4.14377045119348	-4.662303184826528	-0.8654044209530537	0.8875469732811112	-0.15514171540527052	1.5906309287702267	-2.0305928242045614	-1.9347626875433417	-2.146946662717934	0.17799023305492215	-1.339726521925302	-1.3942396323470434	-0.8283181698221846	-3.8532705209996383	-0.8862100263949598	1.6724360841508696	-0.20163520399373586	-1.8948332248642763	-1.4356785825363811	3.0887993396715543	-0.6904139431145369	-0.22163260291351733	-3.31704579716224	2.36821802749764	-4.7761081526554	-3.1066460766777326	-0.8861808775824452	-0.4329567622986575	-0.1334064662204009	-1.3188037341123877	-2.0088502969056576	3.4667597873653158	-1.2290158089838201	1.6679961080225196	-2.5236565592270064	0.3463214974936566	-3.163245975928296																																																												
583	2	-0.8700987604315435	-0.15194633469598537	2.2768700623140714	-5.471431339940269	-3.090428361592769	-5.424343602072538	4.615523754745928	0.7368610824740618																																																																																																				
9931	2	-5.209741909208026	3.9930697236097346	-6.767098208047862	4.13059088656701	-0.06774539312913361	-1.2392941561864736	-12.170564383993577	6.790031381169749																																																																																																				
7052	2	3.554555947505316	-6.348105753666913	-7.28130867217016	3.118462529340284	-1.2629336738322416	-0.09530269994398534	-12.355454946490903	3.608846571250027																																																																																																				
8159	2	-3.672338053823645	1.611693485549479	0.6145122966933063	-3.4375434368807882	-3.6205290349843744	-4.125685852701453	0.3948138113741242	3.2767616231093446																																																																																																				
9897	4	3.2836595112333042	3.198344968272025	-3.621851028006098	-2.705934126801031	-3.5685033492612526	-0.8341614972183794	2.486734071284478	-0.06439688017708865	-4.114617465445303	1.648420434920311	2.4534052743085213	-1.4217146658296804	-2.963052709701667	0.9070354986576991	2.476192642754877	-2.5434799448896954																																																																																												
2250	4	0.9066577294034667	-4.233772295541288	2.8851979094051448	-5.146891159892347	3.2474081551515486	0.718677056657437	-5.191896080412492	-1.4098819627337205	-3.245389098417128	1.7938936440744186	1.3998232863185527	-2.836616309302111	1.4045759482943914	-5.870345959627522	-3.8096955006512596	1.482751235336659																																																																																												
4641	1	-4.149855826093081	-8.081913100856266	3.379965194897093	2.7073904077897244																																																																																																								
9486	2	1.78206262814731	-0.014851811311701723	-3.267195943567827	-4.296731350951675	2.503885369800256	-4.904869154606423	1.6678829751904307	-5.904988252492401																																																																																																				
4948	1	-7.021090655615779	3.2710894148716556	-9.0961892314392	1.2361165617602616																																																																																																								
9921	2	-6.911645905908807	3.739472895021489	2.446987214431084	-3.909776580251343	-0.7530370622907433	6.924881511775217	-1.8013568359668026	-4.607302846589992																																																																																																				
1964	1	-8.983048205806721	1.2933892775564189	-6.887463516635422	1.6181819612192143																																																																																																								
