S_no	n_states	A_ss1	B_ss1	C_ss1	D_ss1	A_ss2	B_ss2	C_ss2	D_ss2	A_ss3	B_ss3	C_ss3	D_ss3	A_ss4	B_ss4	C_ss4	D_ss4	A_ss5	B_ss5	C_ss5	D_ss5	A_ss6	B_ss6	C_ss6	D_ss6	A_ss7	B_ss7	C_ss7	D_ss7	A_ss8	B_ss8	C_ss8	D_ss8	A_ss9	B_ss9	C_ss9	D_ss9	A_ss10	B_ss10	C_ss10	D_ss10	A_ss11	B_ss11	C_ss11	D_ss11	A_ss12	B_ss12	C_ss12	D_ss12	A_ss13	B_ss13	C_ss13	D_ss13	A_ss14	B_ss14	C_ss14	D_ss14	A_ss15	B_ss15	C_ss15	D_ss15	A_ss16	B_ss16	C_ss16	D_ss16	A_ss17	B_ss17	C_ss17	D_ss17	A_ss18	B_ss18	C_ss18	D_ss18	A_ss19	B_ss19	C_ss19	D_ss19	A_ss20	B_ss20	C_ss20	D_ss20	A_ss21	B_ss21	C_ss21	D_ss21	A_ss22	B_ss22	C_ss22	D_ss22	A_ss23	B_ss23	C_ss23	D_ss23	A_ss24	B_ss24	C_ss24	D_ss24	A_ss25	B_ss25	C_ss25	D_ss25	A_ss26	B_ss26	C_ss26	D_ss26
9653	1	2.0060492997408614	2.83225739324746	-6.654424916580732	-6.461468764871643																																																																																																				
6663	3	3.238621211496913	-6.172418990129441	1.5852452199478837	-3.6835977243615297	-1.4869865137509009	-0.5790992315022401	1.86981665730164	-5.1010256930666245	1.0353908479498477	0.8338705586203036	-4.570098061554866	-5.555115457070478																																																																																												
2471	2	1.9749575156076171	-3.5586697200434814	-5.679673126914187	0.8677762476013477	-4.561936327830671	-5.743180720370075	0.9820684218250819	0.18265715024877013																																																																																																
6387	2	2.9433869928537058	1.1805845953855965	-6.6771454274592195	-6.519069701281618	-1.6183669455463572	-4.595218126271472	1.6830748843963292	2.1660452369146035																																																																																																
6194	2	-1.8904434479736485	-2.246605038116393	7.345600316602445	-4.195681931378822	2.091204040063553	-7.633048168061784	-2.6716250296903454	0.7779912334914088																																																																																																
2566	2	-1.0935248171758887	2.5812043613954097	-4.96794737700467	5.655221764691629	5.700232226561935	-2.5922558624135825	-5.392192633918506	-0.6178011810905663																																																																																																
1395	1	4.4616873155134	3.5689736635049747	-4.641220720430209	-7.576419620406659																																																																																																				
5216	1	5.645833238569697	-7.140865891169834	0.6899500754696645	-6.766112742615428																																																																																																				
593	1	1.8780120083656384	2.641538981398174	-6.981789365122251	-5.709462422147692																																																																																																				
6297	1	1.7970487181697419	-6.476277285497225	3.7238367067149554	-4.854021976093434																																																																																																				
