S_no	n_states	A_ss1	B_ss1	C_ss1	D_ss1	A_ss2	B_ss2	C_ss2	D_ss2	A_ss3	B_ss3	C_ss3	D_ss3	A_ss4	B_ss4	C_ss4	D_ss4	A_ss5	B_ss5	C_ss5	D_ss5	A_ss6	B_ss6	C_ss6	D_ss6	A_ss7	B_ss7	C_ss7	D_ss7	A_ss8	B_ss8	C_ss8	D_ss8	A_ss9	B_ss9	C_ss9	D_ss9	A_ss10	B_ss10	C_ss10	D_ss10	A_ss11	B_ss11	C_ss11	D_ss11	A_ss12	B_ss12	C_ss12	D_ss12	A_ss13	B_ss13	C_ss13	D_ss13	A_ss14	B_ss14	C_ss14	D_ss14	A_ss15	B_ss15	C_ss15	D_ss15	A_ss16	B_ss16	C_ss16	D_ss16	A_ss17	B_ss17	C_ss17	D_ss17	A_ss18	B_ss18	C_ss18	D_ss18	A_ss19	B_ss19	C_ss19	D_ss19	A_ss20	B_ss20	C_ss20	D_ss20	A_ss21	B_ss21	C_ss21	D_ss21	A_ss22	B_ss22	C_ss22	D_ss22	A_ss23	B_ss23	C_ss23	D_ss23	A_ss24	B_ss24	C_ss24	D_ss24	A_ss25	B_ss25	C_ss25	D_ss25	A_ss26	B_ss26	C_ss26	D_ss26	A_ss27	B_ss27	C_ss27	D_ss27	A_ss28	B_ss28	C_ss28	D_ss28	A_ss29	B_ss29	C_ss29	D_ss29	A_ss30	B_ss30	C_ss30	D_ss30	A_ss31	B_ss31	C_ss31	D_ss31	A_ss32	B_ss32	C_ss32	D_ss32	A_ss33	B_ss33	C_ss33	D_ss33	A_ss34	B_ss34	C_ss34	D_ss34	A_ss35	B_ss35	C_ss35	D_ss35	A_ss36	B_ss36	C_ss36	D_ss36
6449	1	-2.613445930660495	-6.737631407521705	4.295279560775464	3.5117157687006286																																																																																																																																												
3545	1	0.9190435632423157	-5.2286835235973355	-6.332952283249696	1.0919114530315246																																																																																																																																												
3905	1	1.3369738342070696	2.50196519290968	-9.214267230344397	-4.460062859884801																																																																																																																																												
9740	2	-3.999936050304086	0.9721367811537851	-3.0524357270208387	3.106605397974738	1.3901014120123114	-4.944628678755566	-6.575587780816519	3.3534958827274393																																																																																																																																								
8296	1	-9.748119291471408	-1.5554656810038692	-3.542388431535595	6.243176269621391																																																																																																																																												
3601	2	-5.556861108895375	1.06996863700094	3.101025009100177	-5.47728852491895	0.34903833453408245	6.602166599937074	-3.1695608700536324	-6.661798840195322																																																																																																																																								
1458	2	-8.333348837728884	1.3937853287010742	-4.3127334965878585	0.9565056333675016	-1.7760225698912797	3.441502484617449	-4.298159131644676	-1.4495118814755112																																																																																																																																								
6939	15	-5.02824220781972	-3.037723668298273	1.4934307631812032	4.402859719590383	3.4492159595732077	-4.731900998223168	-2.7105057936444386	1.1236973356168556	3.1733856610104763	-5.542948411381865	-1.6550883549931215	1.0314237127960437	2.8788242992947057	-2.416193120426892	-1.308983784020496	-0.07488554473805271	3.1973727386089843	-1.9364583296583304	-1.5021426838370955	-0.15968713394239697	3.6857054010726675	-1.5135176446176535	-1.732008995647497	-0.24871421101346533	3.6669082329806857	-4.018787447063007	-3.053676722717643	1.007823967580179	4.62879079998271	-0.99568641362047	-2.3026856031584186	-0.18825126338324227	4.334834262559401	-1.7704323515989941	-2.760436049984099	0.42997617386907394	3.432024302899267	-1.7059302163876047	-1.6173419049450939	-0.20691838814108937	2.577188097834957	-5.464730024853724	-0.7657201397358966	0.3645418536819012	4.451294439517854	-1.090645765890129	-2.1146261067579997	-0.28673762795036895	3.859095501519055	-3.3662687869233876	-3.0119412043998386	0.8762471275705827	4.0469858061204596	-1.2965806468120025	-1.8942573545143964	-0.2910917768832458	3.8863113995866607	-1.3870561803346106	-1.821012676216821	-0.27517566601382587																																																																																				
985	4	2.341892514126617	-3.161501068616058	0.7744586957021057	-5.58454780388818	4.549391612624339	-4.6127353482149385	-4.520652202398858	-0.2918047355267563	-2.7966353825165906	2.6853552838474197	0.6926763042865467	-4.64487826439023	0.4807902543042826	4.1066436673576465	-5.398084981463441	-4.23741657272338																																																																																																																																
9587	4	3.4674501014894146	-5.190040983347582	-3.7720684173267425	0.6291260917570971	2.053197536525508	-0.1758532214207679	-6.106224535447348	-4.278422210906098	-3.0400075309168213	-3.284338888097663	0.4857229533177445	5.5991551766003465	-3.7231284241193467	0.38340365990799585	-6.073514235547066	2.086708731032385																																																																																																																																
9653	1	2.0060492997408614	2.83225739324746	-6.654514838610937	-6.461468764871643																																																																																																																																												
6663	3	3.238621211496913	-6.172418990129441	1.585245219947883	-3.6835977243615297	1.035390847949659	0.8338705586917858	-4.570173889467788	-5.555115457070515	-1.8611245666483527	-0.5090792671095601	0.9222420722767157	-5.218721363567533																																																																																																																																				
2471	2	1.9749575156076102	-3.5586697200434836	-5.6796740482966515	0.8677762476013513	-4.56193632783067	-5.743180720370075	0.9820684218249224	0.18265715024877804																																																																																																																																								
6387	2	2.9433869928537058	1.1805845953855965	-6.677398110194558	-6.519069701281618	-1.618366945553252	-4.59521812626649	1.6830746693782623	2.166045242936114																																																																																																																																								
6194	1	-1.8904434479736485	-2.2466050381163924	7.345591151720348	-4.195681931378822																																																																																																																																												
2566	2	-1.0935248174634093	2.5812045886087134	-4.969880236816876	5.655221764691851	5.700232226561935	-2.5922558624021743	-5.392193198180992	-0.6178011810905667																																																																																																																																								
1395	1	4.461687315513413	3.5689736635049747	-4.641220742609688	-7.576419620406659																																																																																																																																												
5216	1	5.645833238569697	-7.140865891169834	0.6899500754696645	-6.766112742615428																																																																																																																																												
593	2	1.8780120083656384	2.641538981398174	-6.981790485633599	-5.709462422147691	-3.393999649372559	-2.0639004279511495	0.8063205685045156	0.9501074804560367																																																																																																																																								
6297	1	1.7970487181697419	-6.476277285497225	3.7238367067149554	-4.854021976093434																																																																																																																																												
5189	2	4.4768810757238615	1.5586332709887651	-5.290829256883073	-7.9561783058127284	1.7473080295615686	-4.298186692579225	1.2456071168199407	-7.667441207814316																																																																																																																																								
3459	3	3.8735203528358277	0.3620556370920242	-2.17997588641567	-6.297739515063189	1.2313547672900376	-5.4302568549038694	1.3264391105128575	-3.550360107580297	2.8917291472974687	-5.615047953560444	-4.381202073894817	0.7673122010814755																																																																																																																																				
3049	3	-5.7003459066492495	-5.270645641158924	1.4405016471224126	4.167234789382793	-5.996345866798167	1.1547155267316809	-5.040371150002482	2.370705957042674	-2.289250400119312	1.2066267273639721	-0.17582436883836394	-3.5433515816551027																																																																																																																																				
7558	6	-3.5840758367221497	2.030487354174174	2.2218591345423673	-2.3591701415031343	3.362296288258967	-2.4673520539269305	-1.2885939698526203	0.671546076905463	2.264135587781062	1.6840675902805748	-0.9880527267035633	-8.744460404717419	3.2731930445461703	-2.1103032346360893	-1.9177706370083643	1.630631145576489	2.7701805024513564	-0.46460556020163396	-4.721285386040301	0.911034270329518	3.0343723289111426	-1.5325363826222953	-4.247130218591495	1.8402676086974745																																																																																																																								
3525	1	-3.334537618726236	3.096161833504311	-0.018982914370323893	-3.5141751527807132																																																																																																																																												
1685	2	-6.268489939752476	0.44900690881548866	2.1122643321644996	-9.654225182550467	-0.003919870668877936	-1.559300116903249	5.4185854206985065	-4.6300448352941554																																																																																																																																								
8462	2	-7.698093457922452	-1.5940508455889566	3.6371272155595507	3.280529838974548	-7.597228189734084	1.20067788247696	4.037316140966028	-2.8259302112406908																																																																																																																																								
8815	2	3.431563176613148	-4.56040579585514	3.7637999604006556	-5.51358727250735	-1.0774775356748392	0.6298090540975778	-8.31621767445881	1.1561835552926196																																																																																																																																								
5644	2	-2.600276600900288	-9.286677922851672	9.273208726329484	-0.27124392452841295	0.3841470197056362	-3.7256929038721895	8.785061215240411	-3.356600782011863																																																																																																																																								
9260	1	-12.533583902045278	3.4853198088894692	2.0405381078175586	-4.0664124910464805																																																																																																																																												
6752	3	1.4538059094117237	-5.2526280437411375	4.832282737762957	-3.2115819164107746	-4.988675335271942	-3.0724148233174615	2.948003231886239	1.470575626960181	-1.4863846607710147	0.06750297378661635	-3.6366293256384457	5.11206771048524																																																																																																																																				
704	2	-6.223130393190057	0.9354723645499943	-3.2693835393452124	3.1293191988010465	-6.0634238705095465	-5.220968728282291	1.3288898876723239	3.5923655797151577																																																																																																																																								
1178	1	3.8757560458868814	-7.490357433475706	2.8564310075372914	-5.905915917044879																																																																																																																																												
9893	3	0.9491055005628848	0.5484774229525335	-3.363221590335481	-5.533113904051024	3.93292754896667	-5.565161703367508	-0.1336109550492178	-4.859244361062456	-3.6764722510054177	0.40688004243833775	3.1645791729056203	-7.308100697706409																																																																																																																																				
8878	1	-5.906416383599756	2.99739301459933	-2.7299654691194153	1.5232872779825115																																																																																																																																												
2287	3	2.748323007465135	-3.8178744461510967	-10.456846358761455	0.35201065269399834	-2.7594757531005487	-9.035218729111563	0.43637884435064733	4.60224633862425	-3.2569434396176766	-7.451314918459399	0.5049059013994386	4.140793680324576																																																																																																																																				
601	2	-2.82059151400454	-0.4796787150475581	-2.930941129916355	5.515735336469516	-1.2586850308191577	5.853826334421631	-1.7814942089898727	-3.078231825527809																																																																																																																																								
7148	2	1.3497704416211516	-5.255942318667895	4.638869924862785	-5.809145576016728	4.305102736552701	0.7116561155625488	-1.5777019187578656	-6.832070596814045																																																																																																																																								
319	3	-5.252979109173312	0.40635010550602196	-3.5434549480952255	5.1251146224562545	-6.337814866082729	-5.517388953454614	1.3662620719635277	2.2919978505978316	-0.007370304986148053	-5.139779129027937	-4.410717854100595	7.59762814608704																																																																																																																																				
6473	2	4.71311316518045	-4.4534968380380775	-5.000009186370714	0.29316771377965106	2.2436374588920747	0.7099200799637917	-6.280412610740032	-4.51423340404908																																																																																																																																								
